fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
0.358974371,0.644444431,0,0.357142849,0.488372065,0.23809524,0.23728813,0.778448721,0.772151887,0.343283573,0.192307619,0.33333334
0.410256435,0.844444439,0,0.607142823,0.744186017,0.5714286,0.5169492,0.677745231,0.379746896,0.522388061,0.269230806,0.33333334
0.410256435,0.711111101,0.049999999,0.499999983,0.674418607,0.33333334,0.40677965,0.697883528,0.45569619,0.477611894,0.269230806,0.33333334
0.846153822,0.177777779,0.700000003,0.357142849,0.476744221,0.3809524,0.45762712,0.79859302,0.329114033,0.373134291,0.269230806,0.6666667
0.358974371,0.644444431,0,0.357142849,0.488372065,0.23809524,0.23728813,0.778448721,0.772151887,0.343283573,0.192307619,0.33333334
0.358974371,0.600000029,0,0.321428554,0.476744221,0.2857143,0.2881356,0.778448721,0.772151887,0.343283573,0.192307619,0.33333334
0.423076935,0.53333336,0.074999998,0.250000009,0.406976724,0.33333334,0.44915253,0.637462635,0.506329054,0.194029847,0.192307619,0.33333334
0.346153871,0.588888862,0,0.107142874,0.360465089,0.33333334,0.12711865,0.456193952,0.620253297,0.208955207,0.307692308,1
0.410256435,0.511111093,0.024999999,0.392857143,0.45348836,0.1904762,0.10169491,0.677745231,0.582278348,0.358208932,0.211538462,1
0.371794872,0.422222222,0.450000018,1,0.430232585,0.3809524,0.8135593,0.778448721,0.569620132,0.701492549,0.403846154,0.33333334
0.269230745,0.511111093,0.099999998,0.321428554,0.732558173,0.33333334,0.5,0.587107888,0.481012622,0.313432854,0.153846117,0.33333334
0.371794872,0.422222222,0.450000018,1,0.430232585,0.3809524,0.8135593,0.778448721,0.569620132,0.701492549,0.403846154,0.33333334
0.128205116,0.550000011,0,0.250000009,0.639534902,0.35714287,0.44915253,0.425983505,0.860759397,0.283582047,0.288461465,0.33333334
0.410256435,0.54444446,0.36249999,0.250000009,0.930232559,0.1904762,0.19491525,0.738166124,0.45569619,1,0.134615458,0.33333334
0.551282002,0.555555561,0.225000009,1,1,1,1,0.859013914,0.329114033,0.820895512,0.153846117,0.33333334
